Country name,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Region,Hemisphere,HappinessScore,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita
Peru,0.8320000000000001,68.25,0.8220000000000001,-0.154,Latin America and Caribbean,both,5.742999999999999,6.031000000000001,163,160,21
Bosnia and Herzegovina,0.87,68.098,0.706,0.113,Central and Eastern Europe,north,5.162999999999999,4.809,76,173,8
Moldova,0.857,65.699,0.8220000000000001,-0.079,Central and Eastern Europe,north,5.897,1.913,109,226,18
Ecuador,0.821,68.8,0.8420000000000001,-0.124,Latin America and Caribbean,both,5.976,6.019,162,74,3
Kyrgyzstan,0.893,64.40100000000001,0.935,0.11900000000000001,Central and Eastern Europe,north,5.185,1.22,31,97,6
Greece,0.823,72.6,0.5820000000000001,-0.28800000000000003,Western Europe,north,5.033,17.882,133,112,218
Bolivia,0.81,63.901,0.875,-0.077,Latin America and Caribbean,south,5.822,3.117,167,41,8
Mongolia,0.935,62.5,0.708,0.11599999999999999,Eastern Asia,noth,4.907,3.694,77,189,8
Paraguay,0.893,65.9,0.8759999999999999,0.027999999999999997,Latin America and Caribbean,south,5.537999999999999,4.078,213,117,74
Montenegro,0.858,68.699,0.708,-0.034,Central and Eastern Europe,north,5.1610000000000005,7.029,31,114,128
Dominican Republic,0.853,66.102,0.86,-0.133,Latin America and Caribbean,north,5.155,6.794,193,147,9
Belarus,0.91,66.253,0.65,-0.18,Central and Eastern Europe,north,5.8020000000000005,5.023,142,373,42
Vietnam,0.85,68.03399999999999,0.94,-0.098,Southeastern Asia,north,5.061,2.171,111,2,1
China,0.8109999999999999,69.593,0.904,-0.146,Eastern Asia,noth,5.245,8.117,79,192,8
Armenia,0.799,67.055,0.825,-0.168,Central and Eastern Europe,north,4.36,3.6060000000000003,21,179,11
Bulgaria,0.9309999999999999,67.0,0.7879999999999999,-0.096,Central and Eastern Europe,north,4.217,7.468999999999999,231,252,94
Azerbaijan,0.836,65.656,0.8140000000000001,-0.223,Central and Eastern Europe,north,5.291,3.8810000000000002,21,46,5
Cameroon,0.71,53.515,0.731,0.026000000000000002,Sub-Saharan Africa,south,4.513,1.375,147,1,4
Senegal,0.71,59.802,0.695,-0.046,Sub-Saharan Africa,north,4.218999999999999,953.0,9,1,7
Albania,0.6970000000000001,68.999,0.785,-0.03,Central and Eastern Europe,north,4.655,4.132,89,132,54
Ghana,0.727,57.586000000000006,0.807,0.12300000000000001,Sub-Saharan Africa,north,4.276,1.517,31,3,10
Niger,0.6409999999999999,53.78,0.8059999999999999,0.018000000000000002,Sub-Saharan Africa,north,3.8560000000000003,368.0,3,2,1
Turkmenistan,0.983,62.409,0.877,0.273,Central and Eastern Europe,north,5.6579999999999995,6.388999999999999,19,71,32
Benin,0.489,54.713,0.757,-0.034,Sub-Saharan Africa,north,3.484,789.0,34,4,13
South Africa,0.86,56.903999999999996,0.7490000000000001,-0.067,Sub-Saharan Africa,south,4.459,5.28,225,76,81
Turkey,0.8220000000000001,67.199,0.5760000000000001,-0.139,Middle East and Northern Africa,north,5.388999999999999,10.863,51,22,7
Morocco,0.56,66.208,0.774,-0.23600000000000002,Middle East and Northern Africa,north,5.151,2.8930000000000002,12,6,10
Venezuela,0.861,66.7,0.615,-0.16899999999999998,Latin America and Caribbean,north,6.084,15.692,333,100,3
Georgia,0.6709999999999999,64.3,0.7829999999999999,-0.23800000000000002,Central and Eastern Europe,north,4.252,3.866,52,100,149
Ukraine,0.888,64.902,0.7240000000000001,-0.011000000000000001,Central and Eastern Europe,north,4.324,2.186,206,237,45
Gabon,0.7759999999999999,59.961999999999996,0.731,-0.2,Sub-Saharan Africa,south,4.121,7.079,347,98,59
Burkina Faso,0.672,54.151,0.695,-0.009000000000000001,Sub-Saharan Africa,north,3.739,614.0,25,7,7
Cambodia,0.765,62.0,0.9590000000000001,0.034,Southeastern Asia,north,3.907,1.27,57,65,1
Nigeria,0.74,50.102,0.737,0.037000000000000005,Sub-Saharan Africa,north,4.875,2.176,42,5,2
Mali,0.7240000000000001,51.968999999999994,0.6970000000000001,-0.036000000000000004,Sub-Saharan Africa,north,4.073,780.0,5,1,1
Liberia,0.72,56.498000000000005,0.735,0.05,Sub-Saharan Africa,north,3.622,455.0,19,152,2
Kenya,0.688,60.70399999999999,0.779,0.287,Sub-Saharan Africa,both,4.356,1.463,58,22,2
Tunisia,0.691,67.20100000000001,0.6559999999999999,-0.201,Middle East and Northern Africa,north,5.045,3.6889999999999996,51,3,20
Lebanon,0.848,67.355,0.525,-0.073,Middle East and Northern Africa,north,5.129,8.257,20,55,31
Namibia,0.818,56.799,0.7190000000000001,-0.149,Sub-Saharan Africa,south,4.574,4.561,376,3,1
Jordan,0.767,67.0,0.755,-0.16699999999999998,Middle East and Northern Africa,north,5.303,4.088,6,21,1
Chad,0.619,48.478,0.579,0.040999999999999995,Sub-Saharan Africa,north,3.763,651.0,15,1,1
Comoros,0.626,57.349,0.5479999999999999,0.08199999999999999,Sub-Saharan Africa,south,3.9560000000000004,775.0,1,3,1
Egypt,0.75,61.998000000000005,0.7490000000000001,-0.182,Middle East and Northern Africa,north,4.362,3.548,6,4,1
Madagascar,0.6859999999999999,59.305,0.552,-0.005,Sub-Saharan Africa,south,3.695,402.0,26,15,4
Togo,0.569,54.913999999999994,0.619,0.032,Sub-Saharan Africa,north,3.303,577.0,36,2,19
Zambia,0.708,55.809,0.782,0.061,Sub-Saharan Africa,south,4.795,1.263,32,19,4
Sierra Leone,0.63,51.651,0.7170000000000001,0.084,Sub-Saharan Africa,north,4.635,481.0,25,3,2
Tanzania,0.7020000000000001,57.998999999999995,0.833,0.183,Sub-Saharan Africa,south,3.6660000000000004,878.0,36,6,1
Haiti,0.54,55.7,0.593,0.42200000000000004,Latin America and Caribbean,north,4.0280000000000005,735.0,1,326,1
Malawi,0.537,57.948,0.78,0.038,Sub-Saharan Africa,south,4.156000000000001,300.0,8,11,1
Botswana,0.784,59.269,0.8240000000000001,-0.24600000000000002,Sub-Saharan Africa,south,3.9739999999999998,6.954,173,35,35
Zimbabwe,0.75,56.201,0.677,-0.047,Sub-Saharan Africa,south,4.1930000000000005,1.0290000000000001,64,18,4
